,username,message,timestamp
1,Optionsking Alert Bot ,Update, 2023-10-30T14:11:21.612000+00:00
2,waysotheraccount ,@everyone mdbh new ipo worth a try, 2023-09-25T16:52:51.962000+00:00
3,Sir Goldman Alerts ,COMMENT, 2024-03-19T16:23:32.115000+00:00
4,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-08-04T13:30:59.958000+00:00
5,waysotheraccount ,Not yet only the mentorship program for now and call outs, 2023-07-20T22:04:22.613000+00:00
6,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,, 2023-12-08T14:44:35.918000+00:00
7,Prodigy ,I’m up 25% now WOOOO, 2024-04-09T15:01:38.681000+00:00
8,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-09-05T16:43:33.305000+00:00
9,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-08-24T13:35:14.691000+00:00
10,Sir Goldman Alerts ,COMMENT, 2024-04-03T14:20:54.043000+00:00
11,Market Bishop ,I'm entering, 2024-04-11T19:49:03.524000+00:00
12,Sir Goldman Alerts ,SCALE, 2023-10-03T14:16:19.637000+00:00
13,Sir Goldman Alerts ,SCALE, 2024-02-23T16:03:30.327000+00:00
14,Waxui Alerts 🍭 ,Trim SPX here320 - 400 ✅ 25%Holding most, 2024-04-08T16:20:36.863000+00:00
15,Optionsking Alert Bot ,Trim, 2023-08-22T17:17:30.340000+00:00
16,Market Bishop ,Bishop's Ideas, 2024-03-28T20:07:24.660000+00:00
17,Waxui Alerts 🍭 ,Closed both SPX and MSFT here, 2024-01-31T19:42:41.281000+00:00
18,Sir Goldman Alerts ,COMMENT, 2023-10-31T14:00:14.390000+00:00
19,Waxui Alerts 🍭 ,No trades until FOMC, 2024-03-20T14:12:28.354000+00:00
20,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-08-28T02:04:48.447000+00:00
21,Sir Goldman Alerts ,SCALE, 2023-10-10T19:21:11.655000+00:00
22,Waxui Alerts 🍭 ,LOTTOSPX here10/20 4245PAvg 420, 2023-10-19T20:59:13.544000+00:00
23,Sir Goldman Alerts ,COMMENT, 2023-10-27T15:56:19.892000+00:00
24,Sir Goldman Alerts ,COMMENT, 2023-09-26T14:43:06.281000+00:00
25,Sir Goldman Alerts ,ENTRY, 2024-02-29T19:59:15.875000+00:00
26,Sir Goldman Alerts ,EXIT, 2024-04-04T17:40:41.965000+00:00
27,Sir Goldman Alerts ,ENTRY, 2023-12-18T15:46:07.689000+00:00
28,Waxui Alerts 🍭 ,Trim SPX here300 - 400 ✅ 33%Holding most, 2024-03-20T18:14:31.443000+00:00
29,Optionsking Alert Bot ,Update, 2023-08-15T14:34:10.790000+00:00
30,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-12-06T13:17:17.160000+00:00
31,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-09-07T18:49:02.834000+00:00
32,Sir Goldman Alerts ,ENTRY, 2024-03-26T19:43:31.138000+00:00
33,Sir Goldman Alerts ,ENTRY, 2024-02-14T17:24:22.895000+00:00
34,KC Trades Bot ,NVDA 900c 4/12 @ 244, 2024-04-11T14:31:49.259000+00:00
35,Sir Goldman Alerts ,ENTRY, 2023-10-19T16:04:46.586000+00:00
36,Sir Goldman Alerts ,COMMENT, 2023-12-01T16:21:52.512000+00:00
37,Optionsking Alert Bot ,Update, 2023-08-16T15:08:36.109000+00:00
38,Sir Goldman Alerts ,COMMENT, 2024-01-10T18:33:25.554000+00:00
39,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-11-03T14:13:56.743000+00:00
40,Optionsking Alert Bot ,Update, 2023-10-24T14:22:47.336000+00:00
41,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2024-03-12T15:28:07.046000+00:00
42,Bullish B Signals ,PYPL looking GOOD this morning  1st price target is 6614, 2024-01-24T14:06:50.976000+00:00
43,Optionsking Alert Bot ,Update, 2023-10-25T19:34:26.619000+00:00
44,Sir Goldman Alerts ,COMMENT, 2024-01-11T20:12:07.659000+00:00
45,Optionsking Alert Bot ,Update, 2023-10-13T17:56:22.381000+00:00
46,Optionsking Alert Bot ,Trim, 2023-09-26T14:32:51.483000+00:00
47,Optionsking Alert Bot ,Charts, 2023-08-31T17:39:48.010000+00:00
48,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2023-12-01T18:16:01.990000+00:00
49,Optionsking Alert Bot ,Update, 2023-08-30T16:15:32.668000+00:00
50,Sir Goldman Alerts ,SCALE, 2023-12-19T16:05:41.161000+00:00
51,Sir Goldman Alerts ,ENTRY, 2024-04-08T18:50:25.432000+00:00
52,Optionsking Alert Bot ,Update, 2023-08-16T19:16:32.221000+00:00
53,Sir Goldman Alerts ,COMMENT, 2023-12-27T16:35:33.729000+00:00
54,Waxui Alerts 🍭 ,, 2023-07-23T21:43:11.517000+00:00
55,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-01-08T20:26:33.011000+00:00
56,Sir Goldman Alerts ,SCALE, 2024-03-08T20:01:24.122000+00:00
57,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-11-29T18:25:05.819000+00:00
58,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,⚡️ __UPDATE__ ⚡️, 2024-01-04T14:54:13.225000+00:00
59,Waxui Alerts 🍭 ,my god can this action get any slower, 2023-07-31T16:39:34.336000+00:00
60,Waxui Alerts 🍭 ,📈📉📈📉📈📉, 2024-03-11T16:07:41.568000+00:00
61,Sir Goldman Alerts ,COMMENT, 2023-12-26T19:47:25.348000+00:00
62,waysotheraccount ,@everyone beke 7/28 155c 93, 2023-07-24T15:13:56.768000+00:00
63,Sir Goldman Alerts ,SCALE, 2023-12-28T16:22:24.009000+00:00
64,Market Bishop ,Trimming QQQ 446 P 4/4 @$360, 2024-04-04T18:24:40.180000+00:00
65,Sir Goldman Alerts ,SCALE, 2024-03-20T18:58:37.129000+00:00
66,Optionsking Alert Bot ,Update, 2023-08-16T16:58:23.792000+00:00
67,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2023-11-02T13:54:13.705000+00:00
68,Waxui Alerts 🍭 ,HIGH RISKSPX here07/26 4540PAvg 400, 2023-07-26T18:10:48.872000+00:00
69,Waxui Alerts 🍭 ,More SPX here300 - 500 ✅ 66%Holding 1/2, 2024-03-22T14:46:26.916000+00:00
70,Sir Goldman Alerts ,SCALE, 2023-11-14T15:30:41.448000+00:00
71,waysotheraccount ,@everyone UNH 4875c small around 30s, 2023-09-07T13:54:02.709000+00:00
72,𝗗𝗗 𝗔𝗟𝗘𝗥𝗧𝗦 🤴 ,__ ⚡️ NEW SIGNAL ⚡️__, 2024-03-12T17:28:26.545000+00:00
73,waysotheraccount ,@everyone muln 0ctber 20 50c at 06/07, 2023-07-14T13:41:45.856000+00:00
74,Waxui Alerts 🍭 ,Closed SPY runners here, 2024-03-28T16:23:07.745000+00:00
75,Optionsking Alert Bot ,Update, 2023-09-22T14:10:21.548000+00:00
76,Sir Goldman Alerts ,ENTRY, 2023-09-22T19:30:10.794000+00:00
77,Market Bishop ,Trimming DFS 127 C 3/28 @$385, 2024-03-28T18:35:35.455000+00:00
78,Market Bishop ,Bishop's Ideas, 2024-03-28T18:33:46.678000+00:00
79,Waxui Alerts 🍭 ,More SPY here115 - 175 ✅ 52%Holding 1/2, 2023-06-26T16:07:36.866000+00:00
80,Sir Goldman Alerts ,COMMENT, 2024-01-03T16:41:28.930000+00:00
81,Waxui Alerts 🍭 ,Trim SPX here300 - 390 ✅ 30%Holding most, 2024-02-14T15:54:38.840000+00:00
